 89 CXOU J132516.9-425938 147.9 13 25 16.9 -42 59 38.8   19   11.9  4.4 1.18E+36          
 90 CXOU J132532.4-425850 148.1 13 25 32.4 -42 58 50.5  206  180.8 14.4 1.80E+37 GC       pff-gc-178
 91 CXOU J132522.3-425852 148.2 13 25 22.4 -42 58 52.2   41   25.8  6.4 2.34E+36          
 92 CXOU J132541.0-430126 148.6 13 25 41.1 -43 01 26.8  607  574.2 24.6 4.95E+37          
 93 CXOU J132514.0-430121 149.6 13 25 14.0 -43 01 21.6   63   43.4  7.9 6.44E+36          
 94 CXOU J132541.0-430037 150.0 13 25 41.0 -43 00 37.7   49   25.6  7.  2.21E+36          
 95 CXOU J132516.8-425932 152.7 13 25 16.8 -42 59 32.4   34   24.3  5.8 2.29E+36          
 96 CXOU J132519.9-430317 153.5 13 25 19.9 -43 03 17.2 2263 2028.1 47.6 2.10E+38          
 97 CXOU J132524.9-430341 155.2 13 25 24.9 -43 03 41.2   33   22.8  5.7 2.46E+36          
 98 CXOU J132527.3-425829 159.2 13 25 27.3 -42 58 29.7   68   48.3  8.2 4.29E+36          
 99 CXOU J132541.9-430142 161.0 13 25 42.0 -43 01 42.3   32   21.7  5.7 1.98E+36          
100 CXOU J132512.9-430114 161.4 13 25 12.9 -43 01 14.7  589  527.1 24.3 7.40E+37 GC       mrfa-082
101 CXOU J132520.6-425846 162.2 13 25 20.6 -42 58 46.0  712  676.3 26.7 6.04E+37          
102 CXOU J132516.4-430255 162.5 13 25 16.4 -43 02 55.4  290  262.1 17.  3.19E+37          
103 CXOU J132538.6-425919 162.5 13 25 38.6 -42 59 20.0   99   70.5 10.  6.21E+36 GC       pff-gc-164
104 CXOU J132512.4-430049 167.4 13 25 12.5 -43 00 49.4   56   39.5  7.5 5.09E+36          
105 CXOU J132512.0-430044 172.7 13 25 12.0 -43 00 44.6  343  302.3 18.5 3.73E+37          
106 CXOU J132540.0-430255 173.2 13 25 40.1 -43 02 55.5   45   27.1  6.7 2.34E+36          
107 CXOU J132527.9-430402 173.7 13 25 28.0 -43 04 02.5  194  167.4 13.9 1.47E+37 GC       mrfa-050
108 CXOU J132540.4-430251 174.4 13 25 40.5 -43 02 51.8   38   26.7  6.2 2.37E+36 H{alpha} mrfa-30
109 CXOU J132540.8-430247 175.0 13 25 40.8 -43 02 47.1  267  234.5 16.3 1.97E+37          
110 CXOU J132514.0-430243 175.8 13 25 14.1 -43 02 43.2  141  118.9 11.9 1.29E+37 GC       mrfa-080
111 CXOU J132535.7-430340 176.5 13 25 35.8 -43 03 40.9   44   33.7  6.6 3.06E+36          
112 CXOU J132512.0-430010 180.6 13 25 12.0 -43 00 11.0  473  441.9 21.7 3.99E+37 FS       mrfa-85
113 CXOU J132529.4-425809 180.6 13 25 29.4 -42 58 09.3   28   18.   5.3 1.96E+36 GC       pff-gc-155
114 CXOU J132533.8-425821 180.8 13 25 33.9 -42 58 21.5   78   61.6  8.8 5.72E+36          
115 CXOU J132511.1-430132 182.7 13 25 11.1 -43 01 32.3   25   17.8  5.  2.54E+36          
116 CXOU J132542.7-425943 186.6 13 25 42.8 -42 59 43.9   28   17.3  5.3 1.60E+36          
